City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,kidal,18.4411,1.4078,31.42,15,51,3.51,ML,1742079109
108,guerrero,17.6667,-100.0,30.02,17,28,1.05,MX,1742079110
109,tura,25.5198,90.2201,19.77,83,0,1.6,IN,1742079111
110,walvis bay,-22.9575,14.5053,18.53,82,28,1.03,,1742079112
111,hithadhoo,-0.6,73.0833,27.65,67,10,0.32,MV,1742079113
112,new norfolk,-42.7826,147.0587,14.84,87,96,2.45,AU,1742079114
113,cunha,-23.0744,-44.9597,18.68,99,95,2.52,BR,1742079115
114,isoka,-10.1606,32.6335,16.64,98,100,1.99,ZM,1742079116
115,georgetown,5.4112,100.3354,27.96,88,20,2.06,MY,1742079117
116,kapa'a,22.0752,-159.319,26.18,78,20,6.69,US,1742079118
117,anadyr,64.75,177.4833,-21.72,64,0,1.0,RU,1742079119
118,cerqueira cesar,-23.0356,-49.1661,20.29,94,91,6.04,BR,1742079120
119,usinsk,65.9939,57.5281,-8.45,82,100,11.2,RU,1742079121
120,okha,53.5739,142.9478,-14.71,94,99,3.95,RU,1742079122
121,bamboo flat,11.7,92.7167,26.48,79,66,2.58,IN,1742079123
122,ravar,31.2656,56.8055,13.56,16,0,1.96,IR,1742079124
123,murudeshwara,14.0943,74.4845,25.13,87,8,1.57,IN,1742079126
124,mazagao,-0.115,-51.2894,24.83,89,56,1.77,BR,1742079127
125,talnakh,69.4865,88.3972,0.34,93,100,10.44,RU,1742079128
126,burutu,5.3509,5.5076,27.34,81,28,3.04,NG,1742079129
127,ribeira grande,38.5167,-28.7,14.22,67,40,15.95,PT,1742079130
128,cockburn town,21.4612,-71.1419,25.98,65,20,5.14,TC,1742079131
129,george town,5.4112,100.3354,27.96,88,20,2.06,MY,1742079132
130,longyearbyen,78.2186,15.6401,-13.09,72,40,1.54,SJ,1742079133
131,medicine hat,50.0501,-110.6683,-1.76,57,100,4.12,CA,1742079134
132,binka,21.0333,83.8,24.96,25,1,0.8,IN,1742079135
133,argostolion,38.1811,20.489,16.53,50,81,6.63,GR,1742079136
134,basawul,34.2475,70.8722,15.81,72,0,1.04,AF,1742079137
135,kerikeri,-35.2268,173.9474,21.85,55,0,2.13,NZ,1742079138
136,kununurra,-15.7667,128.7333,27.99,78,76,0.0,AU,1742079139
137,sidi bel abbes,35.1899,-0.6309,9.66,85,65,2.95,DZ,1742079140
138,mount pearl,47.5166,-52.7813,-3.25,57,75,7.2,CA,1742079141
139,kabalo,-6.05,26.9167,20.06,97,100,1.56,CD,1742079142
140,pangody,65.85,74.4859,-5.2,81,72,11.31,RU,1742079144
141,la'ie,21.6477,-157.9253,26.7,81,57,2.68,US,1742079145
142,ashland,40.8167,-82.2665,19.23,77,99,9.87,US,1742079146
143,benguela,-12.5763,13.4055,26.24,85,69,2.62,AO,1742079147
144,saint-joseph,-21.3667,55.6167,26.21,77,85,3.05,RE,1742079148
